Species,qAddress,Latitude,Longitude
Shamel Ash: Evergreen Ash,50 Francisco St,37.80572138,-122.4057672
Shamel Ash: Evergreen Ash,802X Webster St,37.77794032,-122.4297471
Shamel Ash: Evergreen Ash,900 Waller St,37.77003787,-122.4388222
Shamel Ash: Evergreen Ash,3561 21st St,37.75648859,-122.4270667
Japanese Privet,680 Guerrero St,37.76031614,-122.4237987
Edible Loquat,62 Tomaso Ct,37.70912464,-122.4099732
Shamel Ash: Evergreen Ash,677 Fulton St,37.77774334,-122.4274474
Spruce Spp,488 Ralston St,37.7214691,-122.4688818
English laurel,1549 15th Ave,37.75925804,-122.4723362
Japanese Privet,14 Cumberland St,37.75919109,-122.4240908
Silver Maple,1401x Broadway,37.79604386,-122.4209969
Edible Loquat,602 Arthur Ave,37.74672143,-122.388569
Edible Loquat,1850 Alabama St,37.74327642,-122.4099321
Silver Maple,439 Greenwich St,37.80256714,-122.4070149
Shamel Ash: Evergreen Ash,1200 San Bruno Ave,37.75421663,-122.4045876
Edible Loquat,601X Powhattan Ave,37.7415234,-122.4131095
Japanese Privet,580 North Point St,37.80609115,-122.4182314
Edible Loquat,154 20th Ave,37.78494975,-122.4796331
Shamel Ash: Evergreen Ash,639 16th Ave,37.77593288,-122.4748536
Japanese Privet,106 15th Ave,37.78601112,-122.4742771
Silver Maple,253 Sanchez St,37.76510926,-122.4308544
Japanese Privet,1609 Dolores St,37.74355145,-122.4242168
Shamel Ash: Evergreen Ash,500 Illinois St,37.76546459,-122.3881519
Silver Maple,266 Funston Ave,37.78326863,-122.4718751
Japanese Privet,44 Montgomery St,37.78958295,-122.4020603
Silver Maple,123 San Jose Ave,37.75276281,-122.421472
Shamel Ash: Evergreen Ash,500X Masonic Ave,37.77656843,-122.4464898
Edible Loquat,680X 39th Ave,37.77586125,-122.4994829
Shamel Ash: Evergreen Ash,299X Noe St,37.76475788,-122.4330206
Shamel Ash: Evergreen Ash,1601 Webster St,37.78554235,-122.4315611
Shamel Ash: Evergreen Ash,500 Valley St,37.74414884,-122.4336101
Edible Loquat,50 Quint St,37.74644329,-122.3882889
Edible Loquat,171 Flood Ave,37.7298314,-122.4435927
Shamel Ash: Evergreen Ash,900X Webster St,37.77900981,-122.4299089
Edible Loquat,950 Corbett Ave,37.75190473,-122.4435597
Japanese Privet,9 Sumner St,37.77629251,-122.4104598
Japanese Privet,1714 Filbert St,37.79907289,-122.427943
Shamel Ash: Evergreen Ash,450 Amador St,37.74615618,-122.3797058
Japanese Privet,574 Vermont St,37.76242798,-122.404393
Japanese Privet,2857 Union St,37.79560649,-122.4464101
Shamel Ash: Evergreen Ash,281 Noe St,37.7647986,-122.4330551
Silver Maple,1850 Page St,37.77048122,-122.4512538
Edible Loquat,87 Seneca Ave,37.71846964,-122.441251
Japanese Privet,44 Montgomery St,37.78980483,-122.4021172
Edible Loquat,1838 Alabama St,37.74400713,-122.4104502
Shamel Ash: Evergreen Ash,631 FULTON ST,37.77819518,-122.4271757
Shamel Ash: Evergreen Ash,217 Harbor Rd,37.73287427,-122.3789142
